Census_ID,Name,Population,Pop. Density,Type
301100000,Bambolim,4955,64856.02094,Urban VI
302100000,Benaulim,9898,97229.86248,Urban V
301101000,Bicholim,13743,94583.6201,Urban IV
301102000,Calangute,11925,101749.1468,Urban IV
302101000,Canacona (Urban),10447,55896.20118,Urban IV
301103000,Candolim,7108,102126.4368,Urban V
302211000,Chicalim,7062,57980.29557,Urban V
302103000,Cortalim,6298,75606.2425,Urban V
302104000,Cuncolim,14979,52209.82921,Urban IV
302105000,Curchorem Cacora,18489,81991.13082,Urban IV
301104000,Guirim,4795,118982.6303,Urban VI
301105000,Jua,4555,55078.59734,Urban VI
301106000,Mapusa,31667,279743.8163,Urban III
302200001,Margao,58951,391700.9967,Urban II
302210001,Mormugao,83367,304592.6197,Urban II
302201000,Navelim (Urban),7819,148933.3333,Urban V
301107000,Pale (Urban),6457,47688.33087,Urban V
301200001,Panaji,43349,191555.4574,Urban III
301108000,Penha de Franca,11546,213025.8303,Urban IV
301109000,Pernem (Urban),4578,181666.6667,Urban VI
301110000,Ponda,14661,280862.069,Urban IV
302106000,Quepem,10992,77736.91655,Urban IV
302107000,Raia,7845,52369.82644,Urban V
301111000,Reis Magos,7504,98607.09593,Urban V
302108000,Sanguem,6198,125975.6098,Urban V
301112000,Siolim,9770,79950.90016,Urban V
301113000,Valpoi,6825,58233.7884,Urban V
302102000,Chimbel,NA,0,NA
301121,Talaulim (Rural 1),1567,415.0773469,Rural D
301128,Curca,2899,851.1950203,Rural C
301129,Siridao,3034,347.6566976,Rural C
302114,Seraulim,1418,523.2472325,Rural D
302122,Sernabatim,1304,750.2445199,Rural D
302126,Aquem,0,0,Rural D
302113,Vanelim,1121,1129.357244,Rural D
302121,Cana,395,922.0354809,Rural D
302123,Adsulim,87,438.7291982,Rural D
302136,Varca,4160,509.2921329,Rural C
30144,Latambarcem,2826,384.982154,Rural C
30147,Mulgao,5096,300.8903899,Rural B
30149,Maulinguem North,1284,610.4112194,Rural D
30148,Ona,2536,782.1366889,Rural C
301412,Maem,1601,254.6484071,Rural D
301411,Sarvona,2949,346.2120945,Rural C
301416,Piligao,2426,615.0179993,Rural C
301213,Anjuna,3232,1003.07253,Rural C
301214,Arpora,1042,766.2891602,Rural D
301215,Nagoa (Rural 1),581,837.0551794,Rural D
301233,Saligao,909,150.5041641,Rural D
301235,Marra,1422,211.0575139,Rural D
301234,Nerul,3039,139.0503034,Rural C
30252,Agonda,3693,110.7206888,Rural C
30253,Canacona (Rural),6019,169.7209291,Rural B
30254,Poinguinim,5084,82.08645557,Rural B
30221,Dabolim,2014,271.8132128,Rural C
30223,Quelossim,2429,228.2208358,Rural C
30222,Sancoale,9850,419.3380844,Rural A
30211,Nagoa (Rural 2),2202,425.014476,Rural C
30224,Cuelim,1566,336.1741408,Rural D
302132,Mulem,2080,257.4289286,Rural C
302133,Sarzora,1992,302.2348996,Rural D
302131,Paroda,972,253.0722766,Rural D
302415,Ambaulim,1119,116.5552153,Rural D
302139,Assolna,3649,1048.894766,Rural C
302416,Adnem,2301,247.8324089,Rural C
302417,Bali,1770,218.5616912,Rural D
302142,Ambelim,2791,717.0199101,Rural C
302418,Fatorpa,1425,192.89079,Rural D
302422,Tiloi,569,109.6444744,Rural D
301631,Ponchavadi,0,0,Rural D
302317,Sanvordem (Rural 2),0,0,Rural D
30244,Odar,4663,466.3699555,Rural C
302330,Comproi,467,61.13685754,Rural D
302331,Muguli,817,109.9966341,Rural D
30245,Xeldem,1174,388.1761672,Rural D
302332,Cotarli,105,23.26766681,Rural D
30249,Sirvoi,536,150.7693173,Rural D
302410,Nagvem,75,20.53950431,Rural D
301217,Verla,3588,921.4175655,Rural C
301219,Bastora,224,111.6149285,Rural D
301218,Canca,2032,832.6162672,Rural C
301216,Parra,1034,392.186611,Rural D
30133,Paliem (Rural 2),2005,131.6100404,Rural C
301231,Socorro (Serula),2212,222.1530365,Rural C
301232,Sangolda,975,111.3916531,Rural D
30163,Candola,0,0,Rural D
30162,Orgao,6,0.67624683,Rural D
301112,Ella,2494,311.5397107,Rural C
30119,Cumbarjua,4239,1765.146783,Rural C
301110,Gandaulim (Rural 1),290,214.7352832,Rural D
30123,Colvale,1632,432.8912467,Rural D
301210,Tivim,3225,638.0074385,Rural C
301212,Assagao,2580,3181.650018,Rural C
301211,Marna,1908,538.4506844,Rural D
301223,Moira,6087,275.6106948,Rural B
30215,Nuvem,7240,663.0158062,Rural B
302119,Curtorim,9840,566.9901122,Rural A
302120,Davorlim,5743,1767.403213,Rural B
302212,Sao Jose de Areal,5534,455.52199,Rural B
30227,Chicolna,250,132.49947,Rural D
302124,Talaulim (Rural 2),2840,592.0366896,Rural C
302125,Dramapur,1624,302.0159191,Rural D
30228,Velsao,1423,879.2634701,Rural D
30112,Chorao,5577,281.2107644,Rural B
301237,Salvador do Mundo,1537,205.6379862,Rural D
301236,Pilerne,1408,126.1761807,Rural D
30135,Corgao,7710,393.5098939,Rural B
301322,Tuem,504,741.8310274,Rural D
301324,Mandrem,2632,321.7407249,Rural C
301327,Agarvado,2427,5381.374723,Rural C
301615,Curti,502,211.9395423,Rural D
301620,Bandora,137,27.56317399,Rural D
301625,Betora,293,36.46591744,Rural D
301624,Queula,1351,82.92718858,Rural D
30246,Cotombi (Rural 2),1635,719.0606034,Rural D
30247,Avedem,81,159.9841991,Rural D
30248,Chaifi,562,46.8274799,Rural D
302346,Rivona,1023,97.12240461,Rural D
302116,Rachol,1869,687.0818322,Rural D
30213,Loutulim,5418,304.1684211,Rural B
302335,Uguem (Rural 2),295,22.77113084,Rural D
30122,Camurlim (Rural 1),3475,942.1940242,Rural C
30121,Oxel (Rural 1),966,1091.278807,Rural D
301527,Compordem,3423,295.0378817,Rural C
301541,Nagargao,131,10.47815584,Rural D
301542,Satorem,146,16.37468877,Rural D
301540,Ambedem,89,6.662175313,Rural D
301543,Mauzi,1448,142.4720074,Rural D
301539,Bombedem,113,5.076347366,Rural D
301552,Cudcem,893,119.7580699,Rural D
301550,Naguem,568,78.20459865,Rural D
301427,Velguem (Rural 1),6097,484.6851574,Rural B
301551,Ansolem,488,139.0788874,Rural D
301560,Codqui,23,2.587846124,Rural D
301561,Sanvorcem,0,0,Rural D
