Cen_1991,Neighbour,TransactionAmt,,,,,
301100000,301200001,5,,,,,
302100000,302201000,5,,,,,
301102000,301103000,5,,,,,
301103000,301102000,5,,,,,
302211000,302210001,5,,,,,
302105000,302108000,5,,,,,`
301104000,301106000,5,,,,,
301106000,301112000,5,,,,,
301106000,301104000,5,,,,,
302200001,302107000,5,,,,,
302210001,302211000,5,,,,,
302201000,302100000,5,,,,,
301200001,301100000,5,,,,,
301108000,301111000,5,,,,,
302107000,302200001,5,,,,,
301111000,301108000,5,,,,,
302108000,302105000,5,,,,,
301112000,301106000,5,,,,,
