I,II,III,IV,V,VI
,3002000240204000,3002000340212000,3001000640124000,3001000240113000,3002000240208000
,3002000140201000,3001000240105000,3002000240205000,3001000340122000,3001000140102000
,3001000340120000,,3001000440114000,3001000240109000,3002000440211000
,,,3001000240108000,3001000440115000,3002000240206000
,,,3001000340121000,3002000140202000,
,,,3002000540217000,3002000240215000,
,,,3001000340119000,3001000240104000,
,,,3002000240216000,3001000340123000,
,,,3001000640127000,3001000240106000,
,,,3002000240209000,3001000440118000,
,,,3002000240207000,3001000140101000,
,,,3001000240111000,3001000640125000,
,,,3001000640126000,3001000240110000,
,,,3002000340214000,3001000240107000,
,,,3002000140203000,3002000440213000,
,,,3001000440116000,3002000240210000,
,,,3001000240103000,3001000540117000,
,,,3001000240112000,,
