Cen_2011,Neighbour,TransactionAmt
305855610626704,305855610626692,5
305855610626694,305855610626695,5
305865616626929,305865616803249,5
305865616626929,305865616626928,5
305865616626929,305865616626931,5
305865616626929,305865616626930,5
305855609626658,305855609626659,5
305855611626733,305855611626730,5
305855611626733,305855611626731,5
305855611626733,305855611803243,5
305855611626733,305855611626732,5
305855614626869,305855614626868,5
305855614626869,305855614626867,5
305855614626869,305855614626870,5
305855614626869,305855614803247,5
305855614626869,305855614626871,5
305865616626931,305865616626929,5
305865616626931,305865616626930,5
305865616626931,305865616626932,5
305855614626872,305855614626871,5
305855610626695,305855610626694,5
305855610626695,305855610626696,5
305855610626695,305855610626697,5
305855610626695,305855610626698,5
305855611626732,305855611626733,5
305855611626732,305855611626731,5
305855611626732,305855611803243,5
305855614626865,305855611626727,5
305855614626865,305855614626866,5
305855610626697,305855610626695,5
305855610626697,305855610626698,5
305855612626763,305855612803245,5
305865615626885,305865615803248,5
305855611626730,305855611626733,5
305865616626933,305865616803250,5
305855610626691,305855610803242,5
305855611626729,305855611626728,5
305865615626887,305865615626886,5
305855611626728,305855611626727,5
305855611626728,305855614626866,5
305855611626728,305855611626729,5
305865616803250,305865616626933,5
305865617803252,305865618627021,5
305865617803252,305865617626969,5
305865617803252,305865618803253,5
305855614626870,305855614626868,5
305855614626870,305855614626869,5
305855614626870,305855614803247,5
305865616626926,305865616626925,5
305865616626926,305865616803249,5
305865616626926,305865615626881,5
305865616626928,305865616803249,5
305865616626928,305865616626929,5
305865616626928,305865615626881,5
305855611626734,305855611626735,5
305855610626693,305855610803242,5
305855610626693,305855610626703,5
305855611626727,305855614626865,5
305855611626727,305855614626866,5
305855611626727,305855611626728,5
305855609626659,305855609626658,5
305855609626659,305855609803241,5
305855609626659,305855609626661,5
305855610803242,305855610626691,5
305855610803242,305855610626690,5
305855610803242,305855610626692,5
305855610803242,305855610626693,5
305855614626867,305855614626869,5
305865616803249,305865616626924,5
305865616803249,305865616626925,5
305865616803249,305865616626926,5
305865616803249,305865616626929,5
305865616803249,305865616626928,5
305865616803249,305865615626881,5
305855611626735,305855611626734,5
305855610626692,305855610803242,5
305855610626692,305855610626704,5
305855609626661,305855609626659,5
305865615803248,305865615626885,5
305855611626731,305855611626733,5
305855611626731,305855611626732,5
305865616626930,305865616626929,5
305865616626930,305865616626931,5
305865616626930,305865616626932,5
305855610626698,305855610626695,5
305855610626698,305855610626697,5
305855610626698,305855610626699,5
305865616626924,305865616626923,5
305865616626924,305865616626925,5
305865616626924,305865616803249,5
305855613626842,305855612803245,5
305855614626866,305855611626727,5
305855614626866,305855614626865,5
305855614626866,305855611626728,5
305855612626764,305855614626873,5
305855611803243,305855611626733,5
305855611803243,305855611626732,5
305855610626701,305855610626702,5
305855610626701,305855610626699,5
305855609803241,305855609626659,5
305855610626700,305855610626703,5
305855610626700,305855610626696,5
305855610626700,305855610626699,5
305855614803247,305855614626870,5
305855614803247,305855614626869,5
305855614803247,305855614626871,5
305855614626868,305855614626870,5
305855614626868,305855614626869,5
305865617803251,305865617626969,5
305855614626871,305855614626869,5
305855614626871,305855614803247,5
305855614626871,305855614626872,5
305865616626925,305865616626924,5
305865616626925,305865616626926,5
305865616626925,305865616803249,5
305855610626699,305855610626700,5
305855610626699,305855610626701,5
305855610626699,305855610626698,5
305855610626696,305855610626695,5
305855610626696,305855610626700,5
305855610626702,305855610626703,5
305855610626702,305855610626701,5
305865615626886,305865615626887,5
305865618803253,305865617803252,5
305855612803245,305855612626763,5
305855612803245,305855613626842,5
305865618627021,305865617803252,5
305865615626881,305865616626926,5
305865615626881,305865616803249,5
305865615626881,305865616626928,5
305855610626690,305855610803242,5
305855610626703,305855610626693,5
305855610626703,305855610626702,5
305855610626703,305855610626700,5
305855614626873,305855612626764,5
305865616626932,305865616626931,5
305865616626932,305865616626930,5
305865616626923,305865616626924,5
305865617626969,305865617803252,5
305865617626969,305865617803251,5
