Census_ID,Name,Population,Pop. Density,Type
305855610626704,Aldona,6270,779.8507463,Urban V
305855610626694,Anjuna,9636,741.2307692,Urban V
305865616626929,Aquem,6511,3830,Urban V
305855609626658,Arambol,5322,550.931677,Urban V
305855611626733,Bambolim,6885,905.9210526,Urban V
305855614626869,Bandora,12722,1034.308943,Urban IV
305865616626931,Benaulim,11919,1168.529412,Urban IV
305855612803244,Bicholim,16986,1171.448276,Urban IV
305855614626872,Borim,8257,539.6732026,Urban V
305855610626695,Calangute,13810,1178.327645,Urban IV
305855611626732,Calapor,14077,1436.428571,Urban IV
305865619803254,Canacona (Urban),12434,664.9197861,Urban IV
305855614626865,Candola,5354,628.4037559,Urban V
305855610626697,Candolim,8500,1221.264368,Urban V
305855612626763,Carapur,5500,639.5348837,Urban V
305865615626885,Chicalim,6933,568.7448728,Urban V
305855611626730,Chimbel,15289,4633.030303,Urban IV
305865616626933,Chinchinim,6908,750.8695652,Urban V
305855610626691,Colvale,4818,449.4402985,Urban VI
305855611626729,Corlim,6568,1152.280702,Urban V
305865615626887,Cortalim,9080,1090.036014,Urban V
305855611626728,Cumbarjua,4917,2048.75,Urban VI
305865616803250,Cuncolim,16623,579.1986063,Urban IV
305865617803252,Curchorem Cacora,22730,1005.752212,Urban III
305855614626870,Curti,16385,2127.922078,Urban IV
305865616626926,Curtorim,12886,742.281106,Urban IV
305865616626928,Davorlim,15350,4651.515152,Urban IV
305855611626734,Goa Velha,4322,427.9207921,Urban VI
305855610626693,Guirim,5036,1249.627792,Urban V
305855611626727,Jua,4134,498.0722892,Urban VI
305855609626659,Mandrem,8336,425.5232261,Urban V
305855610803242,Mapusa,39989,3532.597173,Urban III
305855614626867,Marcaim,6215,497.2,Urban V
305865616803249,Margao,87650,5804.635762,Urban II
305855611626735,Mercurim,4970,1911.538462,Urban VI
305855610626692,Moira,4299,1105.141388,Urban VI
305855609626661,Morgim,6760,678.0341023,Urban V
305865615803248,Mormugao,94393,3450.03655,Urban II
305855611626731,Murda,7517,3956.315789,Urban V
305865616626930,Navelim (Urban),12323,2325.09434,Urban IV
305855610626698,Nerul,5042,511.8781726,Urban V
305865616626924,Nuvem,9288,844.3636364,Urban V
305855613626842,Onda,5863,739.3442623,Urban V
305855614626866,Orgao,4602,1314.857143,Urban VI
305855612626764,Pale (Urban),6043,447.6296296,Urban V
305855611803243,Panaji,40017,1904.664446,Urban II
305855609626660,Parcem,4627,443.1992337,Urban VI
305855610626701,Penha de Franca,15342,2830.627306,Urban IV
305855609803241,Pernem (Urban),5021,1992.460317,Urban V
305855610626700,Pilerne,5827,890.9785933,Urban V
305855614803247,Ponda,22664,4358.461538,Urban III
305855614626868,Priol,8164,586.4942529,Urban V
305865617803251,Quepem,14795,1049.29078,Urban IV
305855614626871,Queula,6852,1268.888889,Urban V
305865616626925,Raia,10706,713.7333333,Urban IV
305855610626699,Reis Magos,8053,1058.212878,Urban V
305855610626696,Saligao,6280,1071.672355,Urban V
305855610626702,Salvador do Mundo,6373,549.8705781,Urban V
305865615626886,Sancoale,21923,933.6882453,Urban III
305865618803253,Sanguem,6444,1315.102041,Urban V
305855612803245,Sanquelim,13651,928.6394558,Urban IV
305865618627021,Sanvordem (Rural 2),5103,1000.588235,Urban V
305865615626881,Sao Jose de Areal,10229,838.442623,Urban IV
305855610626690,Siolim,10936,894.9263502,Urban IV
305855610626703,Socorro (Serula),12908,1032.64,Urban IV
305855614626873,Usgao,12436,489.6062992,Urban IV
305855613803246,Valpoi,8532,729.2307692,Urban V
305865616626932,Varca,5439,663.2926829,Urban V
305865616626923,Verna,6632,442.1333333,Urban V
305865617626969,Xeldem,7434,743.4,Urban V
